,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
0,Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,0
1,Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,0
2,Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,0
3,Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,0
4,France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good,0
5,United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,0
6,Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate,0
7,Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,0
8,Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,0
9,Egypt,Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups,2
10,China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,0
11,Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,0
12,India,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,2
13,Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy,2
14,Republic of North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate,0
15,France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,0
16,India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy,2
17,Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,0
18,United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,0
19,India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy,2
20,Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,0
21,India,Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups,2
22,Brazil,Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good,0
23,China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy,2
24,Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,2
25,India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate,0
26,Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,0
27,Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,0
28,Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,0
29,France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,0
30,United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,0
31,Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,0
32,Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,0
33,Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,0
34,South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,0
35,United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,0
36,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,0
37,United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,0
38,United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,0
39,Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,0
40,China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate,0
41,Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,0
42,United Republic of Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate,0
43,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,2
44,United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,0
45,Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,0
46,Egypt,Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate,0
47,Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,2
48,United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,0
49,United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,0
50,United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,0
51,Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy,2
52,India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,0
53,Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy,2
54,Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good,0
55,Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,0
56,Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,0
57,United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,0
58,Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,0
59,United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,0
60,United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,0
61,Poland,Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good,0
62,Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,0
63,Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,0
64,Chad,Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate,0
65,United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,0
66,Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate,0
67,Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,0
68,United States of America,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good,0
69,United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,0
70,Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,0
71,Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,0
72,United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,0
73,United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,0
74,Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good,0
75,India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy,2
76,Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,0
77,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,2
78,Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,0
79,United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,0
80,India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate,0
81,Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,0
82,France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,0
83,United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,0
84,New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,0
85,Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate,0
86,Viet Nam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good,0
87,Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy,2
88,Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,0
89,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,2
90,Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,0
91,Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy,2
92,Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,0
93,Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,0
94,Viet Nam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups,2
95,China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,2
96,Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good,0
97,Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good,0
98,Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good,0
99,Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,0
100,Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,0
101,Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,2
102,Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,0
103,Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,0
104,Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,0
105,Mexico,Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate,0
106,El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,0
107,United Republic of Tanzania,Izazi,28,Good,1,Good,15,Good,0,Good,28,Good,0
108,Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,0
109,India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,2
110,Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,0
111,India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy,2
112,Bulgaria,Jambol,40,Good,1,Good,40,Good,0,Good,32,Good,0
113,Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,0
114,Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,0
115,Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,2
116,Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,0
117,Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,0
118,Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,0
119,Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,0
120,Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,0
121,Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,0
122,Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,0
123,Brazil,Itambe,21,Good,0,Good,8,Good,1,Good,21,Good,0
124,Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,0
125,South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,0
126,Guatemala,Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate,0
127,United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,0
128,United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,0
129,Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,0
130,Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,0
131,Viet Nam,Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups,2
132,United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,0
133,United States of America,Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,Moderate,0
134,Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,0
135,India,Udupi,80,Moderate,1,Good,25,Good,0,Good,80,Moderate,0
136,India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,2
137,United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,2
138,United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,0
139,United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,0
140,United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,0
141,China,Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,Good,0
142,China,Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,Moderate,0
143,China,Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate,0
144,China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,2
145,Peru,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good,0
146,China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy,2
147,Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,2
148,China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy,2
149,China,Yangliuqing,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,Unhealthy for Sensitive Groups,2
150,China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate,0
151,United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good,0
152,Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate,0
153,United States of America,West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,Moderate,0
154,Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate,0
155,Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,0
156,Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good,0
157,Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,0
158,Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate,0
159,United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate,0
160,United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate,0
161,Brazil,Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,Good,0
162,Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,0
163,United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good,0
164,Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good,0
165,Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good,0
166,China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,2
167,United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good,0
168,Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good,0
169,Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good,0
170,Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,0
171,Somalia,Garowe,98,Moderate,0,Good,17,Good,0,Good,98,Moderate,0
172,Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good,0
173,Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,0
174,Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,0
175,Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups,0
176,Russian Federation,Glubokiy,35,Good,1,Good,35,Good,0,Good,17,Good,0
177,United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good,0
178,Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,0
179,Russian Federation,Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,Good,0
180,India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous,1
181,Côte d'Ivoire,Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,Moderate,0
182,United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate,0
183,Sweden,Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good,0
184,United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,0
185,Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good,0
186,China,Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy,2
187,Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,0
188,Nigeria,Idanre,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,Unhealthy for Sensitive Groups,2
189,Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate,0
190,Germany,Ihlow,40,Good,1,Good,30,Good,2,Good,40,Good,0
191,Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good,0
192,Thailand,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate,0
193,Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good,0
194,Russian Federation,Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,Moderate,0
195,Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate,0
196,Poland,Swiecie,44,Good,1,Good,33,Good,1,Good,44,Good,0
197,Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,0
198,Hungary,Szerencs,72,Moderate,1,Good,42,Good,1,Good,72,Moderate,0
199,Tunisia,Taburbah,49,Good,1,Good,49,Good,1,Good,32,Good,0
200,India,Tadepallegudem,127,Unhealthy for Sensitive Groups,2,Good,65,Moderate,1,Good,127,Unhealthy for Sensitive Groups,2
201,Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate,2
202,Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good,0
203,Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate,0
204,Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good,0
205,Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good,0
206,India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy,2
207,Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good,0
208,Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good,0
209,Kazakhstan,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate,0
210,United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate,0
211,Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,0
212,Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate,0
213,Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good,0
214,Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good,0
215,Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,0
216,Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good,0
217,India,Yaval,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups,0
218,United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate,0
219,China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups,2
220,China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy,2
221,Poland,Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good,0
222,Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good,0
223,Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate,0
224,Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate,0
225,China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate,0
226,China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy,2
227,China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,0
228,China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy,2
229,Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate,0
230,Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy,2
231,Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good,0
232,Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good,0
233,Spain,Abaran,47,Good,1,Good,21,Good,2,Good,47,Good,0
234,Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate,0
235,Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups,0
236,Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy,2
237,United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate,0
238,United States of America,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,0
239,India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy,2
240,Nigeria,Agbor,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,Unhealthy for Sensitive Groups,2
241,France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate,0
242,Myanmar,Akyab,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,Unhealthy for Sensitive Groups,2
243,United States of America,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate,0
244,Russian Federation,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good,0
245,Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good,0
246,Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,0
247,Brazil,Almirante Tamandare,13,Good,1,Good,12,Good,1,Good,13,Good,0
248,Spain,Almoradi,48,Good,1,Good,23,Good,3,Good,48,Good,0
249,Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good,0
250,Germany,Altotting,50,Good,1,Good,29,Good,3,Good,50,Good,0
251,Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good,0
252,China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate,2
253,Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good,0
254,United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,0
255,Lithuania,Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good,0
256,Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups,0
257,Mexico,Apaseo El Grande,60,Moderate,1,Good,16,Good,5,Good,60,Moderate,0
258,Brazil,Aragarcas,32,Good,1,Good,3,Good,2,Good,32,Good,0
259,Russian Federation,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good,0
260,France,Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good,0
261,Russian Federation,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good,0
262,Azerbaijan,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good,0
263,Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good,0
264,Ethiopia,Asosa,97,Moderate,1,Good,14,Good,0,Good,97,Moderate,0
265,Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,Moderate,1,Good,37,Good,0,Good,75,Moderate,0
266,India,Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy,2
267,Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups,0
268,Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate,0
269,Ukraine,Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good,0
270,Portugal,Avintes,37,Good,1,Good,16,Good,7,Good,37,Good,0
271,Malaysia,Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate,0
272,United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,0
273,Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good,0
274,Serbia,Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate,0
275,Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good,0
276,Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous,1
277,South Africa,Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous,1
278,South Africa,Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy,2
279,Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate,0
280,Malaysia,Bandar Penggaram,76,Moderate,1,Good,39,Good,0,Good,76,Moderate,0
281,Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good,0
282,Slovakia,Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate,0
283,Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good,0
284,United States of America,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate,0
285,Gambia,Basse,127,Unhealthy for Sensitive Groups,1,Good,18,Good,0,Good,127,Unhealthy for Sensitive Groups,2
286,Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate,2
287,Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate,0
288,India,Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy,2
289,Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups,2
290,Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate,0
291,Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate,0
292,Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good,0
293,Bosnia and Herzegovina,Cazin,50,Good,1,Good,33,Good,0,Good,50,Good,0
294,Italy,Cernusco Sul Naviglio,103,Unhealthy for Sensitive Groups,1,Good,33,Good,6,Good,103,Unhealthy for Sensitive Groups,0
295,Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good,0
296,Czechia,Ceske Budejovice,61,Moderate,1,Good,38,Good,1,Good,61,Moderate,0
297,Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good,0
298,Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good,0
299,France,Chalon Sur Saone,32,Good,1,Good,32,Good,1,Good,20,Good,0
300,China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy,2
